,acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
0,FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,http://soc.kuleuven.be/ceso/fapos/ongoingprojects/families-and-societies,http://www.sociology.ox.ac.uk/funding/the-changing-role-of-children-and-societal-implications-assisted-reproduction-late-fertility-and-childlessness.html,http://oeaw.ac.at/wic/index.php?id=141,http://socasis.ubbcluj.ro/cercetare/family_society/,http://su.avedas.com/converis/contract/5502,http://www.research.ed.ac.uk/portal/en/projects/changing-families-and-sustainable-societies-policy-contexts-and-diversity-over-the-life-course-and-across-generations(15a802df-7c3f-4a7d-ad67-e579bb90406f).html,http://www.familiesandsocieties.eu/wp-content/uploads/2015/09/WP44Olah2015.pdf,http://www.population-europe.eu/event/third-annual-familiesandsocieties-stakeholder-seminar,http://europa.eu/epic/eu-activities/eu-funded-projects/demography-fertility/index_en.htm,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,768:caG9L0kxu0tFQFjTiZ6hd3oJUeyT3NEDZsfdADWUQw:caG9L0kHtFQFXiY9OZEdADWUQw,768:S6TBq/g5Q0ulfuruOuUu4uCuQu2uQuMfu4ugu+uKuNu8uXumuJTPMpH5BurDhkGb:SEpH5Er+G+a,768:QC+puY8XCg+/SR97cZjaiw7glaOGSfjW9MgE3lZ:lwuY2M3D,192:I8CWKqlxxgOYGYXgedaKTknkDJJoO+52s7TfZzPyn13icDRjMHgvZ52F+3N3es3B:iOGXgqdwkDJv1+y1ipghdxUjJma7zY,768:ntfzeMSDQDf0pOprpqpYvvEcUEP34dByacSCMeaiQvNRzPU:RzeMf0pOprpqpYv8cpPIdQacoZRLU,192:iIljKvBckhyCeymQeFV/qE/eyi5wlryduS3EJVZ8j5pnb7O3rMW:XljWACeyL4ZqE/eyi50WduSY+5dO3QW,49152:bJIA6soMKBMjQu1bk+b/fXWJfH3MLjIf7km256b:lIbM571bk2nsfXMQ7km9,192:JfK6832aTT9AHsXUIr5n7e4TsN7zukAcB0vjsxDvyviLNfvQRfV0mFxzQoVsN7zg:lT832aTT9AH+ni4n9aLNwRXFDQfq2Y,384:AiD8R5NqxcMobZfPBsnk7rf/vhEqMt3E+00uP80O9:jSqxcMWJsk7rf/tC5uDq,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,http://www.hleg.de/ciemat.pdf,http://link.springer.com/article/10.1007/s00411-010-0284-2/fulltext.html,http://www.hleg.de/Lachet.pdf,http://www.researchgate.net/publication/240616141_Response_to_Draft_Report_of_the_High_Level_Expert_Group_on_European_Radiation_Risk_Research_of_8th_Sept_2008_On_behalf_of_The_Green_Party_of_England_and_Wales_Green_Audit_The_Low_Level_Radiation_Campaign_The_European_Committee_on_Radiation_Risk,http://www.risk-ir.eu/,http://www.researchgate.net/publication/43100472_The_European_strategy_on_low_dose_risk_research_and_the_role_of_radiation_quality_according_to_the_recommendations_of_the_ad_hoc_High_Level_and_Expert_Group_(HLEG),http://www.melodi-online.eu/doc/melodi_doc_1.pdf,http://www.doremi-noe.net/pdf/doremi_TRA/DoReMi_Publishable_Summary_Period_2.pdf,http://su.avedas.com/converis/contract/371,http://www.melodi-online.eu/DoReMi/home.html,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,1536:Rwfp4CvuZ/MoPMNLwo4TNkttjLNd+33YWt:RwfzeMokJr4pENRk,768:LZWh09e5eeeZHeeesI0iI+HsMIIVeaBzuK5CjujkjPj62+1fdNkibHYxZrOVRgdo:LZWh09e5eeedeeesI2+AKCjujkjPj62S,6144:yvZVw29IU+ZLBhmqu7GqoXIdEO/iaXrJa411+GGf/mfjMkd6TZrYU00gaVt4zxGl:yv99IU+N73u7DB7bJRnq/mAvrY1h1E,3072:PCIvWHCeVQsLVVVVVN1tS3v6uKDGNlhUcR4:PfWEsLVVVVVNviNlhbG,192:uFXdjjQXFGxZ050D2IXjNKnP3JbqANUVZ+maiaKpQbA+/4KoAxVj1Z:+d4VGXPXBg5qANMba/KWbh/H751Z,1536:0DMF0g0/WrwFUl+rM3dPAsWyBgXS3oqWTjwQAvq7R3PKUAlsopoTmcd/he0BiTil:aO8+UgtIsbgXS3AW/lGEG3mnGh5M8Lf5,3072:Az+iRdZA1da5aYe5G9N3uv1rqUUXGHOyWUYYDFOhOja675:Az+iR/2dy3W+XyWjY/m6V,3072:5xnDoFyJsgvBY4k8HgSree24Y1VSnhEpXuO6EFZbdJ/QqaSohk9Vg6TlqHH:5hk+tBY5kree5Y1chk+IFdJ/Rf9h4HH,768:ntfzeMTDQDf0pep7pipIXvEcUEP3Vk0IanSx1KMeWKQvNhzPU:RzeMe0pep7pipIX8cpPFHIan81/xhLU,192:SW8RN8p1Mg3nHl3x9WIfyCgMGJ4wGOa0gjqXRTb:S5H8LMg3cIq1F4qx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,http://notox-sb.eu/,http://notox-sb.eu/project/,http://www.iphc.cnrs.fr/IMG/pdf/NOTOX_Brochure_web.pdf,http://www.iphc.cnrs.fr/NOTOX-project.html,http://www.seurat-1.eu/pages/cluster-projects/notox.php,http://eurice.eu/news/details/article/predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organo/,http://www.uni-saarland.de/fak8/heinzle/de/notox/notox.html,http://www.biopredic.com/index.php?rub=research_projects,http://eurice.eu/projects/life-sciences/notox/,http://euservice.info/projects/life-sciences/notox/,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+VUkNtwaOcmrUGoaDpjgawd6MHws5g76fO96TGT1I1clckJ0tQWWav0:nhaDpEXd6MQSGnI1cll8fT0,,,384:N4Q1Hr1JRywrH3lHCXj72iol4/eb61F3RAhAPAF+rWVVVlV1VwqVoLeID2XIv73a:iq1JRywrUbj4h2WYnLH7Sr/82EQ,192:0ws8GFg0paMArVnuUScxCGToDm2xmDQzdS:0wsPq0w7RuncxODm2xmUzdS,48:ImE5p388J1InfwGcK+c9EU8p+cwVhabvsatfRrlz:O88J1InfwFK+2FhQvFfRrlz,1536:Oe19S65lxgng4z7XUdqQDO7cROIldTJn1HG:Oe19SYscDO7QFdI,192:0wsfGFg0paMv4UL0CkI1YjhBwTZoHZs9IJK5byXDUDr94fDQzdS:0ws+q0weL0o2Nz69Is5bdcUzdS,192:Hs7UU+YLDD0paRhn4B0CkI1YjhBwTZ1Zs9IJKWbyXDXm482hzHS:M7UYH0wRC0o2Na69IsWbEhzHS,100.0,41.0,,,0.0,0.0,0.0,0.0,0.0,0.0
3,HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,http://www.hear-eu.eu/,http://www.hear-eu.eu/media_heareu/HEAR-EU%20leaflet_v1_III.pdf,http://hear-eu.org/index.php/news/events,https://www.linkedin.com/in/marioceresa,https://www.linkedin.com/pub/nerea-mangado/40/888/a94,https://it.linkedin.com/in/maurizio-bordone-4421a431,https://nl.linkedin.com/in/sergio-vera-765a4826,https://za.linkedin.com/in/fredericperez,https://pl.linkedin.com/in/fredericperez,http://www.upf.edu/rdi/programes_europeus/cooperation.html,192:6d2NcBBoQOaoiPub/Er27o+b7sPnc+Hzjkw1DKhUat6JewckLmtBgviw2:6dcaoiPub/ES7oQstTjlZKh3t6kwdLmf,192:6d2NcBBoQOaoiPub/Er27o+b7sPnc+Hzjkw1DKhUat6JewckLmtBgvYw2:6dcaoiPub/ES7oQstTjlZKh3t6kwdLmN,12288:BrWUn46Z54zvjhW2p46ZAhHsfrEcvKp9c3jIQh7EH6bIIIZi2V8u5XpkZUc5:BrJn46z4zvVWb6ZAhHsMpyX7EabIIIZE,384:KdQaoiPubhS7oEkB/5krIGnrkBqn51dUFEDHkBc59T3lpEI2xkB95L/b7OERTkB7:HaoiPnq5EnHn5zP5t2k5rb7f55ESUQX6,,,,,,,768:Ye+ZuxjPgcLIsXKpjeXgPWv3ZBdUgXK3yil/:HxLgcLDap+gPapBdfa3f/,99.0,0.0,0.0,,,,,,,0.0
4,GAMMA,Global ATM security management,http://www.gamma-project.eu/,http://www.gamma-project.eu/,http://www.finmeccanica.com/en/-/gamma-atm-security,http://www.selex-es.com/en/-/gamma-atm-security,http://www.finmeccanica.co.uk/-/gamma-atm-security,https://www.deepdyve.com/lp/institute-of-electrical-and-electronics-engineers/gamma-filling-the-security-management-void-of-sesar-and-nextgen-sp5JOQnaNn,http://ieeexplore.ieee.org/iel7/6811232/6819972/06819992.pdf?arnumber=6819992,http://www.atc-network.com/atc-news/gamma-consortium-defining-the-future-of-atm-security,http://rnc-avionics.com/about-us/rd/eu-gamma/,http://www.42solutions.nl/gamma-consortium-on-global-atm-security-management-joined-by-42-solutions/,http://www.finmeccanica.co.uk/documents/1458024/4203155/PR_21_oct_13_GAMMA_EN.pdf?download_file,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcLu:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQ2,,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcXu:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQS,1536:4LcxmKqJ80Xcheee/foe/OqSVkFXeRsN3epmXRFYvebtW8Yi+nivkdJMZLsH3f:4+H6BYsN7rY8gdJMQ,1536:dN/AAt8XBnLjtF/Joq68qFqEqFqxL6Bq6qqFq4qFqSMq/MLSKCgNxQ1+BDIUuEq:Plt8XFL3iq68qFqEqFqBkq6qqFq4qFqs,768:5/93aACuURUAo14rpmnNyU4z+52zckx8wKo+Sp9:5/93aA2UnnNyU4K52zckx8wKo+Sp9,768:kbK/SRI1J63Vgi2g2s2vPXq9u0n/nz+q2FZjpfj:mkSRI1J63Vgi2g2sQfufz+Ljpfj,768:W9F0wIa8X2R/Y3lv7hsmsChdzWjIxasx+xyH7AxaJx3x4xjxww20xRLgv0:WYnr2R/6v1smsChdzWjIx3x+xyAxmx3m,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcAv:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQg,100.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/zusammenarbeit/weltraum/cosmos/,http://www.helmholtz.de/en/helmholtz_centres_networks/eu_projects/cooperation/space/,"http://www.rtu.lv/component/option,com_docman/task,doc_view/gid,8400/lang,lv/",https://www.linkedin.com/in/elena-giglio-2b440730,http://www.2020-horizon.com/CENTRO-PARA-EL-DESARROLLO-TECNOLOGICO-INDUSTRIAL-p1257g1.html,http://www.2020-horizon.com/SPACE-AND-SOLAR-TERRESTRIAL-RESEARCH-INSTITUTE-p3962g1.html,http://www.ims.rtu.lv/en/?page=projects,http://www.ims.rtu.lv/?page=projekti,http://www.esastap.org.za/download/addinfo02_ws_saeu_space_2013.pdf,http://www.researchranking.org/index.php?action=partner&p=dBeb,384:/hOGjKlqytBVGQnJ326zEPk3KaiWQZqn4QMsCrq:kGWkytBVGmJpEvq4QMsCrq,768:O4VdrQ822weQChX2NPEh/ppTu7FDwXodLxDRLW+:zAghX2NPExppTu7FDwXodLxDRLW+,,6144:KekPS0VeDvrGMUVKTSa/vwEjJ3lzKEnxM0nNATSXmchmdkEI:Kek9Vej9UVHkYEGc6TjyIkEI,,384:fnvYRkFv9YeyVjR7MKfJmELGeyVXdXKyy:fgmFv9YeyVjRfmELGeyVNG,192:SIhBnvYRlOGe83bAHQXcKvv3gJM59N/cZkS0HoMXZEy0Iw:SIhBnvYRMl6VMK33gJM5PTSTMXKyy,384:tVCK4SyOBAFT5Ia66dDPRxle7cl+M2VGYOS9NK2el:G8gT51lPRG1M2VGYnK,384:tanv/wifU7bT5IN3rl5pyle7cl+O2V/YOFI0OiA:IwBT5Mx5pd1O2V/U0OiA,98304:QPD04PaWdPhGIoeHJx2xDPS9rmrqsHCQtYZQzhh/r7z20:8haeGQJx8e9rmrqsiJW3a0,768:9AakvB5f0t7CM/rmAFxs1gmRWm8qyULh26ZA1Oi:Ivbf0JCMSys1HXi1Oi,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
6,HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,http://www.hypoled.org/,http://www.hypoled.org/Documents/HYPOLED_100604.pdf,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/abstract,http://www.2020-horizon.com/HYPOLED-High-performance-OLED-microdisplays-for-mobile-multimedia-HMD-and-micro-projection-applications(HYPOLED)-s14337.html,http://www.researchgate.net/publication/45174928_HYPOLED_-_VGA_OLED_micro-display_for_HMD_and_micro-projection,http://www.oled-info.com/files/hypoled-e.pdf,http://publica.fraunhofer.de/dokumente/N-135599.html,http://www.oled-info.com/fraunhofer-ipms-updates-us-their-various-oled-projects,http://www.wiley-vch.de/berlin/journals/op/09-02/OP0902_S34-S36.pdf,http://www.zoominfo.com/p/Uwe-Vogel/1275934409,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,49152:LMa62Qy0rnsi9zpZbGdefhYnxkX8aY8zX7nsl7:Qa6Sknsi9tZbYa8aFrn2,384:0W2E96WxvQ5U3ZiKks9ieAfGRLtN5O9JbAq6OKYDKlCGh3FJgsIxkIfOEIYqIm5s:0W2E96WxYUdhCAq6OKLlrhFJ3YGm,96:xlKLBkF1MWSRw6bYGpzDzSZmkedbLl+2A+bB5hzXuKEy5ZokksLoRtcfH+:nDYRlpGZillvA+bB/XZEy0Ie,3072:p83I399qYUOfvigikWgfL0Rx3HSW9wohJEaSoS3qBsXQR692oRZR3h541GdxGbwG:p83I399q6VWgiwohJEarBfKRZR3h54mM,6144:pz9BlA/9vQNVLQUwS+w9uiEfbVvfsXyli0S398+oEI/Ij56rV8Xopz49Cg/W7HIq:p4oVLQq7E6XS056ZaopEYo1g,96:sp2HB5fzQINxfVAG6/0VdDj+do/4MnSnqjivihiKiAiiiPmie2VOMX5NW0icNyTT:spqXALtdD3jD32fiZl6,384:YiZy3ffEfQf3IHtw1GIhMur0aj3fI2PMgr4qP26cslYizvMx87z6TmY70/7s76dY:bX4fIHOEphR2kz26TrILlWwijES,3072:QsXVNrSjoaiL3Pc8FlFgDJodEOWEnKXwuhE6M47VTDJBGGp4Kxt:RaoaiLjFlFgDJodfX8R7dJBX4Kt,384:fhK6zss4+6P1Gsr2SrTCErgUOHtrJt74fUt/Ct/KtvHbj2mTeocYa0A12uz7Orj:fhZ2952CgR7j2mTeB0A8a7Orj,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/,https://www.hipeac.net/network/projects/4682/genesys/,http://www.genesys-platform.eu/summary.htm,http://www.unibo.it/it/@@multilingual-selector/d645ec2d3da543c4a01a07f7dc354117/en,https://ti.tuwien.ac.at/cps/research/projects/genesys,http://msdl.cs.mcgill.ca/people/mosterman/workshops/date09/05_06a.pdf,http://first.aster.it/_aster_/viewNews?ID=17281,http://webhost.laas.fr/TSF/IFIPWG/Workshops&Meetings/54/workshop/10.Kopetz.pdf,http://www.researchgate.net/publication/220714398_A_Comparison_of_NoTA_and_GENESYS,http://www.researchgate.net/publication/228866788_A_Comparison_of_NoTA_and_GENESYS,,,384:89RDLE94AYDX1w5vN+SCqCgvLxsOLNxxuhjpf:89q94zr1QF+SCqCgV4hjB,,768:uSQR0BxNdfbCEHCuzYJJuZHXa6r2zFVt4B84YBOFyc6Z0OrBEKT:BvNdfbCUCuzYJJUHXa6r2zFMeBOFyc6v,768:S3gVAi17poBmG5cHYJDAyyno7eVFukABCJ2BTvkDvz1p/VUbn/FQppp0STxQnk1I:5VA+7pQmG5cHYJDAyyno7eVFukABCJ2L,192:GsgHTLqqYQg0xahZvIqj9pSJHFE6mjSh4G4Ikh7:GtHTeqOIqj9gJljmjSh4GWB,768:G6pwHPoKYxtTY37+Vcyj1zLva73P1dqY0+t9:G6pwHPofnTYiVcyla7dcY0+j,3072:3bAF9twYRPoJmpGHPDdbAyG5nkOYARt6af7ZSgwC:3bAiYRPonvFAy7ARt6afdSvC,1536:/67rI7hG8GuRx8b089P3CeI3SOKdNGS38oROtSkVqxksN7QpZaaJSik+Vsip+rSb:887gQW4FKDGS38SNG0sV3,1536:fhs7rOXhkux8H0cJY/CeIhSOKdGS38ERaKsfaP9m7SwDiP2Svfk+Vsip+rGESn0+:fQaXZWZ3KdGS3JqJpbxMR3,,,,,,,,,,
8,FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/dmedia?f=LGhj,http://www.foodclusterinitiative.eu/uploads/files/conceptual-design-report-full-text.pdf,http://www.2020-horizon.com/FOODMANUFUTURE-Conceptual-Design-of-a-Food-Manufacturing-Research-Infrastructure-to-boost-up-innovation-in-Food-Industry(FOODMANUFUTURE)-s1.html,http://www.manufuture.org/manufacturing/wp-content/uploads/Flyer_FoodManufuture-final-event.pdf,http://www.foodclusterinitiative.eu/uploads/files/executive-summary-final-report.pdf,http://www.campden.hu/dokutar/FoodManufuture_brochureinenglish.pdf,http://etp.fooddrinkeurope.eu/asp/etp_uptodate/l1.asp?doc_id=726,http://www.vifu.net/media/1129/flyer-foma-final-event-2-final.pdf,http://progettiue.enea.it/dettagli_prog.asp?id=779,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ek95sm:TFcZV5eu5sm,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekb5ym:TFcZV5eU5ym,24576:suYbJ8zh2ku8UD48Z1WvY5bQiny2tcl1NqZI0Wmu:Fl1bpUEfQ5kinN+NgI0Wmu,49152:cERW2vXjJdKG+NLZucohFsg3tXpa5De46Ge2mbFt0WFm+KDpQxdHGjq:cLmJUtNLEHb31pW6z9bFt0KmdDpQxdHL,192:vDYRlpGTmulmJN8t2y7WMOmcsGyahsYdXZEy0Ie:vDYRnMmnLs2y7WMOHsTedXKyo,12288:p5jN0ByKlocR1uhXRYBJ0Od+FJ1z3Inrs:z1CocRqiJ0Y4nDInrs,49152:AUFE19HVv2RKEAGS7kYXAvPN1iLByVIu23GCWM:A4YJgA/kYXAXO11V2i,98304:+9eK1eiffK7zPgTjXTDfnGF8NxxEZOEy1eVTNr5:oeK1XnsMTzn08NrEZCejr5,,12288:MAU6R66TrEjWi80nKmVgM1iBKHUHOwrziSYQwf2NniUtoFo42l:ML6Tw78LmVgM1sUwrdYQM295toUl,96:SI3L21DuEmc2y7WNKd9Fud6HF7E07q3oGMzS6PG6+KEyfZN:SIit2y7WMOmx7BGMzS6PTRN,96.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
9,HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,http://www.wageningenur.nl/en/show/HighTech-Europe-European-network-for-integrating-novel-technologies-for-food-processing.htm,http://www.euussciencetechnology.eu/content/european-network-integrating-novel-technologies-food-processing-hightech-europe,http://www.hightecheurope.eu/fileadmin/redakteur/downloads/HTE_Guidelines_2012.pdf,http://www.biw.kuleuven.be/m2s/clmt/lmt/research/projects/current/hightech-europe,http://www.hightecheurope.eu/uploads/media/2011-05-03_08-35-28_D4_17_Booth_at_IndagraFood_Bucharest_2010.pdf,http://www.agropolis.org/project-management/afresh.php/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,http://flandersfood.indiegroup.be/upload/agenda/1192/Guidelines.pdf,http://www.flandersfood.com/sites/default/files/HTE_AMP_Flyer.pdf,http://www.agropolis.fr/pdf/article-HTE-international-innovation.pdf,768:xZcxJQFEsuncMsLybUCwgnsu13LwUbBfWB71Kq1:xeQesucxLmlhsu13LwoBfW/J1,384:6uVzqiIQP3iIIrBtBptORGc91Fkc9yxWzNZvK52c:6uV/IQP3XMpUJrFkGyxWzN02c,384:LO7hagwb253tYG4928piKrvbzA9M41gp9DYN:IIDb253n492+iK141gbi,384:wQahML9vCDtbTPsoQRNltPjH+FBnBFhNqYZUl3dFrKy7V4sLQ:wQahML9vCDtbTPsoQRNltrH+FBn3lSKt,6144:GvIVzeu3Zksv8EnbMu+vSe0sl+N01obGhjWqD2ZYjEmc2W6zggvhM+fzAA:aIVb3NbMuYSC6T0SLejEd2/0whhsA,768:oaG9LqIk/u0pbQFjT+ZoxAjWUBET9Fbms/KZh9EKWUQw:oaG9LLkhlQFXiB09F8Zh9EKWUQw,98304:rMibegK9EDjc/eoI623aUor3lD9HjpUoCtzz/izIE9z9:vb5K9CjcGoVZ3h9HjpUosDKIg,768:ZLg/IQP3MkUQfP2fpa+UumoQdKccgGXb+5wXg5FD1q3EZ:5gwQP3cQygW+2bGww511q3EZ,3072:z7mMHVPbudK1GHFicQJDZMIQiJo6Ge1WhYkiZLY6N6xYIqG:z7mMHVPbOKYFi/JDuIQiJvYQ6xYIqG,24576:cjTdX9i5tbBlF16vEBXSsIgT/8QMulrpwM/FRAVC1M6ZTRz:SR9GBMcpf3pMuldkYF,12288:IrXHTYCo4gzFA+PUIMidLRfWUnlbOmhQIxoTlRW5xJZEmX2lIz6JPFya/ByyHAoX:kroHPXdVuUlQIxkG7z6JdqygoX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
