,acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
10,PLEASURE,Novel Processing approaches for the development of food products Low in fAt Salt and sUgar,http://www.pleasure-fp7.com/,http://www.pleasure-fp7.com/,https://www.linkedin.com/topic/food-processing,http://ec.europa.eu/health/nutrition_physical_activity/docs/ev_20150924_ag_en.pdf,https://www.linkedin.com/pub/alina-tamm/64/b53/861,https://be.linkedin.com/in/kerstin-lienemann-06925336,http://ec.europa.eu/health/nutrition_physical_activity/events/ev_20150924_en.htm,https://fi.wikipedia.org/wiki/EuroFIR,https://de.linkedin.com/in/claudia-siemer-88758347,http://www.slideshare.net/senaimais/microsoft-power-point-dra-tatiana-koutchma-aafc,http://www.chancefood.eu/final-chance-conference-will-showcase-findings-and-potential-recommendations-to-reach-those-at-risk-of-poverty-in-europe_74.html,192:r1N9838WL7ZdYbUqJDWW7FBiW7dW3WWWhWjW0WIBtb9Nk3YNbA15z:RG7ZmbUqc0IoyBqunt0Y+z,192:r1N9838WL7ZdYbUqJDWW7FBiW7dW3WWWhWjW0WIBtb9Nk3YNbA15z:RG7ZmbUqc0IoyBqunt0Y+z,,,,,,,,,,100.0,,,,,,,,,
11,SHOCKMEAT,Development of Shock Wave Technology for Packed Meat,http://www.shockmeat.eu/about-shockmeat/general-information.html,http://www.promatecfoodventures.com/doc/The_Parliament_Magazine_April_2013_Shockmeat.pdf,http://openinterests.eu/entities/EjSXt6cWtcajbbh-hvidebaek-slagteri-as,http://www.shockmeat.eu/funding-scheme/benefit-of-sme.html,http://www.sciencedirect.com/science/article/pii/S0309174002001225,https://en.wikipedia.org/wiki/Bomb,http://abcnews.go.com/Technology,http://www.casio-europe.com/euro/corporate/onlycasio/,https://en.wikipedia.org/wiki/Thermal_protection_system,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.498.2985,http://www.wearable-technologies.com/2014/01/the-new-wave-of-wristbands/,96:SEfDdqmo/ndd43oIR5zTyy4D+atnufchfySN1Pb38CQmwvto:XfgPddNs5zTp4Znufchfywb3ZQmwO,1536:67akZlvtaYjVwsI+EouUCQF0xcUL9P1NPtK8ZDAfVJIQIj61cUkZL+Tq:62krtaYjVwsXi6ELR1NVZDSsQCC0LN,,,,,,,,,,0.0,,,,,,,,,
12,RECAPT,Retailer and Consumer Acceptance of Promising Novel Technologies and Collaborative Innovation Management,http://www.recapt.org/,http://www.recapt.org/,http://www.recapt.org/images/PDF/RECAPT%20article%20NEW%20FOOD.pdf,http://cordis.europa.eu/project/rcn/101335_en.html,http://www.eufic.org/page/en/page/MEDIACENTRE/podid/recapt/,http://www.2020-horizon.com/RECAPT-Retailer-and-Consumer-Acceptance-of-Promising-Novel-Technologies-and-Collaborative-Innovation-Management(RECAPT)-s2802.html,http://www.eufic.org/page/hu/page/MEDIACENTRE/podid/Top_level_results_of_RECAPT_Retailer_and_Consumer_Acceptance_of_Promising_Novel_Technologies_and_Collaborative_Innovation_Management/,http://www.youtube.com/watch?v=IRE7_EBnKt8,http://www.effost.org/eu-projects/recapt/,http://www.youtube.com/watch?v=qQDWiA-Ofxc,http://cordis.europa.eu/fetch?CALLER=EN_NEWS&ACTION=D&RCN=36126,384:IdFXxvPuCS2zBebhR/ngKHyESl7UJ6grjux9ybPH:GxvPO2zBebhR/ngKHyES26gMyb/,384:IdFXxvPuCS2zBebhR/ngKHyESl7UJ6grjux9ybPH:GxvPO2zBebhR/ngKHyES26gMyb/,,,,,,,,,,100.0,,,,,,,,,
13,TACMON,DEVELOPMENT OF A LOW COST INTERACTIVE GRAPHICAL TACTILE DISPLAY CAPABLE OF DISPLAYING TEXTUAL AND GRAPHICAL INFORMATION AS ADVANCED USER INTERFACE FOR THE VISUALLY IMPAIRED,http://www.tacmon.eu/new/,http://tacmon.eu/,http://cordis.europa.eu/result/rcn/58175_en.html,http://www.tacmon.eu/new/about-the-project/,http://www.2020-horizon.com/PRODUCTION-TRADE-AND-SERVICE-COMPANY-ARTHAUS-DOO-IMPORT-EXPORT-SKOPJE-p15828g1.html,http://www.apprendisti.fvg.it/wave2project/index.jsp?idPagina=13,http://www.ltcc.org.pl/projects/tacmon2/,https://www.linkedin.com/in/jakabagnes,http://www.2020-horizon.com/CENTRE-DE-RECERCA-I-INVESTIGACIO-DE-CATALUNYA-S-A-p4935g2.html,http://ltcc.org.pl/about-me/work-experience/,http://sodsat-project.com/project-partners/,384:BWQ6z/LCqjJzCyScqkuCjt+qimZ582zZva/UO3:CzznjJzCy3qk/imZ582zZCUO3,384:BWQ6z/LCqjJzCyScqkuCjt+qimZ582zZva/UO3:CzznjJzCy3qk/imZ582zZCUO3,,,,,,,,,,100.0,,,,,,,,,
14,EAGLE,Development and demonstration of a dynamic web based renewable energy rating platform,http://www.eagle-fp7.eu/,http://www.ipf.kit.edu/english/current_projects_EAGLE.php,http://www.eagle-fp7.eu/,http://eaglesolar.eu/eagle/index.php/en/,https://www.3dvisworld.com/news/resource-news/9784-eagle-3d-lidar-web-based-solar-measurements-for-europe.html,http://www.solimpeks.com/research-and-development/,http://www.2020-horizon.com/MAKEDONSKO-ZDRUZENIE-ZA-SONCEVA-ENERGIJA-SOLAR-MAKEDONIJA-p8995g1.html,http://www.thegreenitreview.com/2011/10/bluesky-secures-24m-for-renewable.html,http://www.gim-international.com/content/article/eur2-4-million-for-green-energy-research,http://www.bluesky-world.com/#!solar/c1qbr,https://www.linkedin.com/in/simonschuffert,192:ZqnriJcviuRId8TjLQoW5ckcoaRfGGoaeC+:BJnBd8TjLQQPRfGGoaR+,192:dLrgCp0zoU0Vh3X159yHuj2XUSq/ec0Y+:dLrx0zoU0VhB/OUh0j,,,,,,,,,,0.0,,,,,,,,,
15,CLICO,Climate Change Hydro conflicts and Human Security,http://www.clico.org/,http://www.clico.org/,http://www.ecologic.eu/3295,https://www.prio.org/Projects/Project/?x=934,http://www.tyndall.ac.uk/research/water-and-landuse/clico,http://www.clico.org/final-conference-proceedings/,http://ec.europa.eu/research/social-sciences/projects/451_en.html,http://www.ecologic.eu/7600,http://ehs.unu.edu/news/announcement/clico-project-report-on-climate-change-water-conflicts-and-human-security-in-the-mediterranean-the-middle-east-and-sahel.html,http://reliefweb.int/report/world/climate-change-water-conflicts-and-human-security-regional-assessment-and-policy,http://reliefweb.int/sites/reliefweb.int/files/resources/Climate%20Change%20Water%20Conflicts%20and%20Human%20Security.pdf,768:3d4euUvrB6IDvGPXrosPqkRP06FohHz5axj8ExYbCExYbFB1PPW78HKGF:3d2UvrB6IDvGPXrosPqkRP06FohHz5q3,768:3d4euUvrB6IDvGPXrosPqkRP06FohHz5axj8ExYbCExYbFB1PPW78HKGF:3d2UvrB6IDvGPXrosPqkRP06FohHz5q3,,,,,,,,,,100.0,,,,,,,,,
16,ACRIMAS,Aftermath Crisis Management System of systems Demonstration,http://www.acrimas.eu/,https://www.iit.demokritos.gr/project/acrimas,http://cordis.europa.eu/result/rcn/140446_en.html,http://www.academia.edu/7703305/ACRIMAS_-_Aftermath_Crisis_Management_System-of-systems_Demonstration,http://publica.fraunhofer.de/documents/N-193077.html,http://www.acrimas.eu/index.php/acrimas-contact,http://www.acrimas.eu/index.php/final-event-brussels,http://portal.gdacs.org/Expert-working-groups/Mobile-technology/2012-Mobile-InterOp-Workshop/ItemID/162/ModID/697,http://www.researchgate.net/publication/280039337_AFTERMATH_CRISIS_MANAGEMENT__PHASE_I_-_ACRIMAS_-_D3.1_THREATHAZARD_MAP_FOR_EU_CM,https://www.linkedin.com/groups?gid=4132516,http://www.driver-project.eu/content/acrimas,192:t/dcE+kBWjSdlAOMpT9cPh+56pnAMVJ1rFdwCar:t/dcckjSv9Mp0JA215dwCar,384:OzHWha9nf5JGIGlinb41RZjGF/7+9FlDe0LIaRy:uH1nzGIGe41R95Ry,,,,,,,,,,0.0,,,,,,,,,
17,FUTURENANONEEDS,Framework to respond to regulatory needs of future nanomaterials and markets,http://www.futurenanoneeds.eu/,http://www.futurenanoneeds.eu/,http://cordis.europa.eu/project/rcn/110964_en.html,http://www.futurenanoneeds.eu/project/project-summary/,http://www.nano.hw.ac.uk/research-projects/future-nano-needs.html,http://www.list.lu/en/research-domains/erin/project/futurenanoneeds/,http://www.prodintec.es/prodintec/en/g_noticias?accion=detalleNoticia&id=173,http://www.nanosafetycluster.eu/eu-nanosafety-cluster-projects/seventh-framework-programme-projects/futurenanoneeds.html,http://www.ucd.ie/cbni/projects/european-projects/,http://www.etp-nanomedicine.eu/public/about-nanomedicine/european-funding,https://www.linkedin.com/pub/andrzej-fima/5/780/982,384:2tc5GxXG9SZIYAcpxxFF4ifcEkE4EvE7oEJEyEloE6ErEA9o1a0CEpi8lojQs+t4:QcSXKYAcqifo9ri6Ab+tZLjFo,384:2tc5GxXG9SZIYAcpxxFF4ifcEkE4EvE7oEJEyEloE6ErEA9o1a0VgEpi8lojQs+u:QcSXKYAcqifo9Vli6Ab+tZLjFo,,,,,,,,,,96.0,,,,,,,,,
18,HI-FRE,Efficient membrane filtration units with integrated High Frequency Backpulsing device,http://www.hi-fre.eu/,http://www.hi-fre.eu/,http://www.2020-horizon.com/HI-FRE-Efficient-membrane-filtration-units-with-integrated-High-Frequency-Backpulsing-device(HI-FRE)-s9120.html,http://www.hi-fre.eu/index.php?id=4,http://www.2020-horizon.com/WATERLEAU-GLOBAL-WATER-TECHNOLOGY-NV-p16629g1.html,http://www.sciencedirect.com/science/article/pii/S0376738804001188,http://www.researchranking.org/index.php?action=partner&p=dHrx,http://www.annualreviews.org/doi/full/10.1146/annurev-fluid-120710-101112,http://www.researchgate.net/publication/224283446_Membrane-Based_Energy_Efficient_Dewatering_of_Microalgae_in_Biofuels_Production_and_Recovery_of_Value_Added_Co-Products,http://www.sciencedirect.com/science/article/pii/S0376738813000446,http://link.springer.com/article/10.1007/s10404-013-1291-9/fulltext.html,96:3GzMK0Wbp9M6B8bst8IPeRHuapR+F6PMk9:3sMK0qn9B8bst/PepOKf9,96:3GzMK0Wbp9M6B8bst8IPeRHuapR+F6PMk9:3sMK0qn9B8bst/PepOKf9,,,,,,,,,,100.0,,,,,,,,,
19,MS.MONINA,Multi scale Service for Monitoring NATURA 2000 Habitats of European Community Interest,http://www.ms-monina.eu/home,http://www.ms-monina.eu/,http://www.academia.edu/13357712/MS_._MONINA_-_Multi-scale_Service_for_Monitoring_NATURA_2000_Habitats_of_European_Community_Interest,http://www.copernicus.eu/projects/msmonina,http://www.copernicus.eu/sites/default/files/library/SuccessStory_MSMONINA_Winog.pdf,http://www.ms-monina.eu/services,http://www.eurac.edu/en/research/projects/pages/ProjectDetails.aspx?pid=8872,http://www.ifgg.kit.edu/english/vegetation/research/projects_msmonina.php,http://www.ifgg.kit.edu/vegetation/projekte_msmonina.php,http://www.igik.edu.pl/en/remote-sensing-ms-monina,http://www.zgis.at/index.php/en/research/projects-current/30-ms-monina-2010-2013,768:A/HZrjyzqPJhdTVqPx6Y17Ut9h6BWkHQE/QY9GB:AVUEdTVOx7tUt9h6MkHQE/QY9GB,384:dC/tBZ/WIu3AfzCPnJh12ZpSFgxpzR1CVVjiw6Ut9h6BWkHQYF/QY9GB:A/HZrugzCPJhPqR1TUt9h6BWkHQE/QYs,,,,,,,,,,72.0,,,,,,,,,
