original-uri,memento-closest,memento-first,memento-last,timegate_uri
http://www.vitruv-project.eu/consortium.html,http://web.archive.org/web/20130217055338/http://www.vitruv-project.eu/consortium.html,http://web.archive.org/web/20130217055338/http://www.vitruv-project.eu/consortium.html,http://web.archive.org/web/20130217055338/http://www.vitruv-project.eu/consortium.html,http://timetravel.mementoweb.org/timegate/http://www.vitruv-project.eu/consortium.html
https://www.sesame-project.eu/,https://archive.is/20130412162305/https://www.sesame-project.eu/,https://archive.is/20130412162305/https://www.sesame-project.eu/,http://web.archive.org/web/20160305233354/http://sesame-project.eu/,http://timetravel.mementoweb.org/timegate/https://www.sesame-project.eu/
http://www.fp7-caper.eu/,https://archive.is/20140609220107/http://www.fp7-caper.eu/,https://archive.is/20140609220107/http://www.fp7-caper.eu/,http://arquivo.pt/wayback/wayback/20141126232621/http://www.fp7-caper.eu/,http://timetravel.mementoweb.org/timegate/http://www.fp7-caper.eu/
http://www.food4me.org/,http://web.archive.org/web/20130119212932/http://food4me.org/,http://web.archive.org/web/20110707124710/http://food4me.org/,http://web.archive.org/web/20160305090139/http://food4me.org/,http://timetravel.mementoweb.org/timegate/http://www.food4me.org/
http://www.virtuoso.eu/,http://web.archive.org/web/20121227115551/http://www.virtuoso.eu/,http://web.archive.org/web/20110107192219/http://www.virtuoso.eu/,http://web.archive.org/web/20160216094027/http://www.virtuoso.eu/,http://timetravel.mementoweb.org/timegate/http://www.virtuoso.eu/
http://cartardis.eu/,http://web.archive.org/web/20150326044647/http://cartardis.eu/,http://web.archive.org/web/20150326044647/http://cartardis.eu/,http://web.archive.org/web/20160314064518/http://cartardis.eu/,http://timetravel.mementoweb.org/timegate/http://cartardis.eu/
http://www.embrace-project.eu/,http://web.archive.org/web/20130313091536/http://www.embrace-project.eu/,http://web.archive.org/web/20130313091536/http://www.embrace-project.eu/,http://web.archive.org/web/20160316095720/http://www.embrace-project.eu/,http://timetravel.mementoweb.org/timegate/http://www.embrace-project.eu/
http://www.euroforgen.eu/,http://wayback.archive-it.org/all/20121229100843/http://www.euroforgen.eu/,http://web.archive.org/web/20120518103341/http://www.euroforgen.eu/,http://web.archive.org/web/20160317015017/http://www.euroforgen.eu/,http://timetravel.mementoweb.org/timegate/http://www.euroforgen.eu/
http://www.turas-cities.org/,https://archive.is/20130416014016/http://www.turas-cities.org/,http://web.archive.org/web/20111228164629/http://www.turas-cities.org/,http://web.archive.org/web/20160307005057/http://turas-cities.org/,http://timetravel.mementoweb.org/timegate/http://www.turas-cities.org/
http://www.predict-project.eu/,http://arquivo.pt/wayback/wayback/20141126192947/http://www.predict-project.eu/,http://arquivo.pt/wayback/wayback/20141126192947/http://www.predict-project.eu/,http://web.archive.org/web/20160310045622/http://predict-project.eu/,http://timetravel.mementoweb.org/timegate/http://www.predict-project.eu/
http://www.speedkits.eu/,http://web.archive.org/web/20130422232054/http://speedkits.eu,http://web.archive.org/web/20130422232054/http://speedkits.eu,http://web.archive.org/web/20160306144107/http://speedkits.eu/,http://timetravel.mementoweb.org/timegate/http://www.speedkits.eu/
http://www.sawsoc.eu/,http://web.archive.org/web/20160307115208/http://sawsoc.eu/,http://web.archive.org/web/20160307115208/http://sawsoc.eu/,http://web.archive.org/web/20160307115208/http://sawsoc.eu/,http://timetravel.mementoweb.org/timegate/http://www.sawsoc.eu/
http://www.coltheres.org/,http://web.archive.org/web/20130508132637/http://coltheres.org,http://web.archive.org/web/20130508132637/http://coltheres.org,http://web.archive.org/web/20160305195853/http://coltheres.org/,http://timetravel.mementoweb.org/timegate/http://www.coltheres.org/
