,title,projectUrl,acronym
16,NETWORKED ELECTRONIC STORAGE AND COMMUNICATION OF TELEMATICS APPLICATIONS PROGRAMME RESULTS,http:// www.ejeisa.com/nectar/,NECTAR
17,REQUIREMENTS ENGINEERING AND SPECIFICATION IN TELEMATICS,http://info.lut.ac.uk/research/husat/respect/,RESPECT
18,TELEMATICS SUPPORTED WORKFLOW ANALYSIS AND BUSINESS PROCESS ENHANCEMENT,http://www.unisg.ch/~item/PROJECTS/PM/teleflow.html,TELEFLOW
21,COMPUTER AIDED POST IN EUROPE IN THE YEAR 2000,http://www-vs.informatik.uni-ulm.de/index.html,CAPE 2000
22,"Integrated Environmental Monitoring, Forecasting and Warning systems in Metropolitan Areas",http://www.mdx.ac.uk/emma,EMMA
23,Integrated Telematics System for Administrations Environmental Management,http://dpa.sag.es/~itsaem/,ITSAEM
25,Environmental Forecasting for the Effective Control of Traffic,http://www.tol.hol.gr/business/effect,EFFECT
26,DOMESTIC INTERACTIVE TELEMATIC EDUCATION AND LEARNING,http://www.cet.hut.fi/domitel,DOMITEL
27,DISTANCE EDUCATION AND TUTORING IN HETEROGENEOUS TELEMATICS ENVIRONMENTS,http://www.inesca.pt/,DEMOS
28,CORPORATE ORGANISATIONS INTERACTIVE NETWORK SYSTEMS,http://www.coins-project.com,COINS
29,Observations and Modelling of Eddy Scale Geostrophic and Ageostrophic Circulation,http://campanilla.uib.es/Omega/,OMEGA
30,Biofouling Reduction on Optical Systems,http://www.eng.gla.ac.uk:80/marine/bros.htm,BROS
31,European Subpolar Ocean Programme Phase 2: The Thermohaline Circulation in the Greenland Sea,http://www.geol.uib.no/esop2/esop2.html,ESOP-2
32,Probabilistic design tools for vertical breakwaters,http://www-public.tu-bs.de:8080/~i5102401/proverbs.html,PROVERBS
33,Instrumentation for marine CO2 from remote platforms,http://www.uea.ac.uk/~e559/imcorp.htm,IMCORP
56,Broadband Urban Rural Based Open Networks,http://www.nwconnect.ie/Screenphones/bourbon/,BOURBON
72,Collaborative Integrated Communications For Construction,http://www.hhdc.bicc.com/cicc/,CICC
73,Storage for Multimedia Application Systems in the Home,http://www-it.et.tudelft.nl/pda/smash,SMASH
76,Reconstruction using Scanned Laser and Video,http://www.hhdc.bicc.com/resolv/default.htm,RESOLV
83,Towards broadband access systems for catv optical networks,http://wwwtios.cs.utwente.nl/ctit/projects/tobasco,TOBASCO
137,Parallel industrial numerical applications and portable libraries,http://www.nag.co.uk/projects/PINEAPL,PINEAPL
170,European parliaments research initiative,http://www.epri.org,EPRIWATCH
182,Forecast and assessment of socio-economic impact of advanced communications and recommendations,http://www.analysys.co.uk/acts/fair/,FP4-FAIR
195,Learn from video extensive real atm gigabit experiment,http://www.dit.upm.es/~leverage,LEVERAGE
196,National host interconnection experiments,http://www.deteberkom.de/NICE/,NICE
198,Multimedia Information Window for National Hosts,http://www.infowin.org,INFOWIN
199,SME and Regional Telecom Support,http://www.smarts.org,SMARTS
203,TELE-SHOPPING SERVICES USING VIRTUAL REALITY AND INTERACTIVE MULTIMEDIA,http://www.cocom.dk/teleshoppe.htm,TELESHOPPE
205,Architectures Software and Hardware for MPEG-4 Systems,http://www.fzi.de/esm/projects/emphasis/welcome.html,EMPHASIS
234,Drosophila European Stock Centres,http://www.umu.se/genetik/Eurodro.htm or http://fly.ebi.ac.uk:7081/stocks/stock-centers/lk/umea/umea-doc.html,
275,Impact of a climatic gradient on the Physiological Ecology of a Pelagic crustacean,http://www.obs-vlfr.fr/PEP/.index.html,PEP
276,Upgrading Flow Cytometry for Buoy-mounted operation: first experimental implementation,http://www.pi.net/~dubelaar/cytobuoy.html,CYTOBUOY
278,Interactions of physical and biological factors in the surf and swash zone of European rocky shores,http://eurorock.dbag.unifi.it/,EUROROCK
279,Geophysical and oceanographic station for abyssal research,http://www.ingrm.it/GEOSTAR,GEOSTAR
280,European North Atlantic Margin : Quantification and Modelling of Large-Scale Sedimentary Processes and Fluxes,http://www.marine.ie/datacentre/projects/enam,ENAM II
299,Embedded filter unit for automotive signal conditioning,http://www.integramm.org,FILU
307,Instruments for sustainable regional development,http://www.eures.de/insured/insured.htm,INSURED
308,Biogases transfers in estuaries.,http://www.ulg.ac.be/oceanbio/biogest/,BIOGEST
309,The eco-metabolism of estuarine intertidal flat,http://www.nioo.knaw.nl/cemo/ecoflat/Ecoflat.htm,ECOFLAT
316,"Bioactive Marine Natural Products in the Field of Antitumoral, Antiviral and Immunomodulant Activity",http://www.sante.univ-nantes.fr/pharma/SMAB/MAST/,
318,Broadband acoustic scattering signatures of fish and zooplankton,http://www.eee.bham.ac.uk/acs_gr/bass.htm,BASS
323,The morphological development of intertidal mudflats,http://www.science.plym.ac.uk/KDYER/default.htm,INTRMUD
324,Development of an airborne geiod mapping system for coastal oceanography,http://agmas co.gfz-potsdam.de,AGMASCO
325,High resolution temporal and spatial study of the benthic biology and geochemistry of a north-eastern Atlantic abyssal locality,http://www.marine.ie/datacentre/projects/BENGAL/,BENGAL
326,Prediction of Aggregated-scale Coastal Evolution,http://www.sms.utwente.nl/ondz/pace/pace.htm,PACE
328,Biodiversity and genetics of algal populations,http://oracle.bangor.ac.uk/biogap/,BIOGAP
329,Autonomous Lander Instrument Packages for Oceanographic Research,http://www.abdn.ac.uk/~nhi648/alipor.htm,ALIPOR
330,Microbial ecosystem dynamics,http://imp.imp.uib.no/medea/,MEDEA
331,Pre-operational modelling in the seas of Europe,http://www.pol.ac.uk/promise/index.html,PROMISE
333,Sonar Technology for Monitoring and Assessment of Benthic Communities,http://biosonar.vki.dk/,BIOSONAR
334,Microorganisms in deep sea vents and marine hot springs as sources of potentially valuable chemicals,http://www.sb-roscoff.fr/Bact/MAST/,
335,Local Ice Cover Deformation and Mesoscale Ice Dynamics,http://www.enrich.hi.is:80/icestate/,ICESTATE
337,Performance of Soft Beach Systems and Nourishment Measures for European Coasts,http://www.safe.isysgroupe.fr/Safe.nsf,SAFE
338,Trans-Atlantic Study of Calanus Finmarchicus,http://calanus.nfh.uit.no/TASC.HTML,TASC
340,Fluxes across narrow shelves. The Ebro delta case,http://www.upc.es/lim/eng/pro/fans/,FANS
341,Coastal sediment transport assessment using synthetic aperture radar,http://www.argoss.nl/cstar/cstar.html,C-STAR
342,Integrating environmental and population variation: a model for biodiversity studies,http://www.leeds.ac.uk/biology/research/europe/ambios.html,AMBIOS
343,Miniaturized and reconfigurable instrumentation for multipurpose survey with a mini autonomous vehicle: Development and validation at sea,http://www.mumm.ac.be/docs_en/projects/mauve/,MAUVE
344,The remote detection of sediment instability on the European continental margin and slope,http://www.soc.soton.ac.uk/CHD/poseidon/psdn_layout.html,POSEIDON
345,Mesoscale Ocean Remote Sensing Experiments for imaging and modelling of internal wave fields by radar sensing,http://www.compulink.co.uk/~ocs/morse,MORSE
346,Climatic Variability of Mediterranean Paleo-circulation,http://mist.met.ed.ac.uk/~paulm/clivamp.html,CLIVAMP
348,Integrated System for Analysis and Characterization of the Sea floor,http://www.ntnu.no/ISACS/,ISACS
349,Mediterranean desertification and land use. Project 4 ephemeral channels and rivers,http://www.medalus.leeds.ac.uk/,MEDALUS III
364,Civil aircraft for remote sensing and in-situ measurements in troposphere and lower stratosphere based on the instrumentation container concept,http://mpch-mainz.mpg.de,CARIBIC
427,Validating hydrological moderocess studies and internal data from research basins: tools for assessing hydrological impacts of environmental change.,http://www.ija.csic.es/rn/hidro/inicial.html,VAHMPIRE
450,Dynamics and stability of reed-dominated ecosystems in relation to major environmental factors that are subject to global and regional anthropogenically induced changes.,http://botanik.aau.dk/eureed/,EUREED II
565,Novel technique for in-process monitoring of surfactant production by small-angle X-ray scattering,http://www.elettra.trieste.it/projects/euprog/saxs/,
697,Computerised Bibliographic Record Actions Plus Preservation and Service Developments for Electronic Publications,http://www.bl.uk/information/cobra.html,COBRA+
698,European Copyright User Platform,http://www.kaapeli.fi/eblida/ecup,ECUP+
700,"Global, reactive, efficient and environment friendly, transportation logistics",http://www.cs.strath.ac.uk/~ps/GreenTrip/,GREENTRIP
705,Concurrent engineering design advisor system,http://yeats.ucc.ie/cedas/cedas.html,CEDAS
706,Maritime industries virtual enterprise linkage,http://www.biba.uni-bremen.de/projects/marvelous,MARVEL OUS
714,Integrated information and process management in manufacturing engineering,http://www.ait.org.uk/,OPAL
715,Real time decision making in manufacturing,http://www.intrasoft.gr/rider.htm,RIDER
716,Datamining file server,http://www.trans.net/dafs,DAFS
724,Remote maintenance for facility exploitation,http://www.gsip.cran.u-nancy.fr/remafex,REMAFEX
726,High performance telecontrol station with image and sound capabilities,http://cupido.uninova.pt/%7Einnova/,INNOVA
727,System for high-speed for automatic reading of cheques,http://www.mbr-train.org,SHAROC
728,High-performance computing for clinical applications of 3d ultrasound,http://www.igd.fhg.de/www/igd-a7/Projects/Invivo/English/3dultra.html,3DULTRA
729,High performance system for textile evaluation,http://www.joinedt.eu,HIPERTEX
730,Embedded interactive video server,http://set.gmd.de/RS/EIVIS,EIVIS
731,Parallel computing for Spain 2,http://www.ac.upc.es/cepba/,PACOS 2
733,A framework for integrated symbolic/numeric computation,http://www.warthe.eu,FRISCO
734,Iota-intelligent object tracking and analysis using smart sensor technology,http://www.ivp.se/products/index.htm,IOTA
735,Colour and texture inspection equipment,http://tks.oulu.fi/Catie/,CATIE
736,Parallel scalable computers for high performance,http://www.play-with-water.ch,PACHA
737,European processing core technology,http://www.cetia.com/news/EUROPRO/europroj.html,EUROPRO
738,Laser quality iii-v nitrides,http://crhea.unice.fr/laquani/index.htm,LAQUANI
741,A parallel optimisation scheme applied to extrusion die design,http://www.polyflow.be,ESOP
742,Integrated simulation and design system for civil and structural engineering,http://public.web.cern.ch/public/,INSIDE
744,Tools for high productivity engineering design,http://www.bertin.fr,TOOLSHED
747,Fluid structure interaction- high performance simulation for structural design,http://tina.sti.jrc.it/FSI/,FSI-SD
754,High performance computing for process industries awareness and promotion exercise,http://www.dci.clrc.ac.uk/activity/apex,APEX
759,High speed manipulation by random access vision,http://www.cs.may.ie/research/computer_vision/ramap/,RAMAP
760,A planning and control system for a semiconductor virtual enterprise,http://www.nimblesite.com/xcittic,X-CITTIC
762,Toward a concurrent engineering environment in the building and engineering structures industry,http://www.vtt.fi/cic/projects/tocee/,TOCEE
764,Multimedia assisted distributed tele-engineering services,http://mates.cdt.luth.se,MATES
772,Open HPF programming environment,http://www.vcpc.univie.ac.at/activities/projects/PHAROS.html,PHAROS
776,Information technology for the textile industry,http://www.euratex.org,ITEX
779,Resource allocation based on line measurement,http://www.cl.cam.ac.uk/Research/SRG/measure.html,MEASURE
780,Optimizing HPF for advanced applications,http://www.par.univie.ac.at/hpf%2b,HPF+
784,2 real applications for requirements engineering,http://www.info.fundp.ac.be/~phe/2rare.html,2RARE
796,ADVANCED PASSENGER INFORMATION IN EUROPEAN CITIES,http://www.ul.ie/~idc/about/Projects.html),INFOPOLIS
799,GUIDELINES IN HEALTHCARE,http://www.rbh.nthames.nhs.uk/rbh/itdept/r&d/projects/prestige.htm,PRESTIGE
806,HPCN Europe on line newsmagazine,http://www.hoise.com,HOISE NM
817,Optimum design of multibody systems,http://www.ceit.es,ODESIM
818,Open interface for coupling of industrial simulation codes on parallel systems,http://fctesqa.jrc.ec.europa.eu/,CISPAR
819,High performance simulation of internal combustion engines,http://www.uni-stuttgart.de/RUSuser/vis/hps-ice.html,HPS-ICE
823,Oil and gas exploration and production user reference group for emerging new technologies,http://www.pds.nl/urgent,URGENT
841,Use of integrated graphical and textual formal specification languages in industry,http://www.ifad.dk/Projects/usegat.htm,USEGAT
