,title,projectUrl,acronym,return_code,redirect_url
196,DEVELOPMENT OF A EUROPEAN SERVICE FOR INFORMATION ON RESEARCH AND EDUCATION,https://www.surf.nl/over-surf/werkmaatschappijen/surfnet,DESIRE,301,https://www.surf.nl/over-surf/werkmaatschappijen/surfnet
202,INTEGRATION SYSTEM ARCHITECTURE - TELEMATICS,http://www.univ-lille2.fr/,ISAR-T,301,http://www.univ-lille2.fr/
207,SAFETY CRITICAL INDUSTRIES WORKPLACE LEARNING TELEMATIC NETWORK,http://www.sintef.no/en/marintek/,SAFETY-NET,301,http://www.sintef.no/en/marintek/
210,VALIDATION OF DEDICATED SHORT-RANGE COMMUNICATIONS,http://www.comnets.rwth-aachen.de/home.html,VASCO,301,http://www.comnets.rwth-aachen.de/home.html
212,EUROVILLAGE ON THE EUROPEAN INFORMATION INFRASTRUCTURE,http://www.sycomore.fr/,EVENET,301,http://www.sycomore.fr/
217,TELESERVICES FOR SMALL AND MEDIUM-SIZED ORGANISATIONS : A NETWORK OF NETWORKS,http://www.agora.org/home,AGORA,301,http://www.agora.org/home
218,DIABCARE QUALITY NETWORK IN EUROPE,http://www.diabcare.de/dc_stvincent/_cats.htm,DIABCARE Q-NET,302,http://www.diabcare.de/dc_stvincent/_cats.htm
226,MULTIMEDIA INTERACTION WITH REGIONAL AND TRANSNATIONAL ORGANISATIONS,http://www.roma.otm.it,MIRTO,200,
227,EUROPEAN BUSINESS REGISTER PHASE 2,http://www.ebr.org/,EBR II,200,
238,Nitrogen Cycling in Estuaries,http://www.dmu.dk/lakeandestuarineecology/NICE/,NICE,200,
240,VALIDATION OF THE BIOTECHNOLOGICAL PROCESS AND PRODUCTION OF A FIRST LOT OF SAMPLES FOR CLINICAL TRIALS,http://www.medac.de/startseite/,KINASE,307,http://www.medac.de/startseite/
242,DEMONSTRATION OF ECONOMIC AND RELIABLE MANUFACTURING PROCESSES FOR MULTICHIP MODULES USING INNOVATIVE COFIRING CERAMICS,http://www.siegert.de,DECCO,200,
246,Virtual interactive studio television application using networked graphical supercomputers,http://www.edc-internet.nl/nl/,VISTA,301,http://www.edc-internet.nl/nl/
251,Objects for critical business applications,http://www.softwareag.com/corporate/default.asp,OCBA,301,http://www.softwareag.com/corporate/default.asp
252,Systems engineering data representation and exchange standardisation,http://www.ncl.ac.uk/cbcb/,SEDRES,200,
253,Web information repository for the enterprise,http://www.opengroup.org/,WIRE,200,
254,Methods and tool support for the evolution and re engineering of legacy systems,http://www.lancaster.ac.uk/scc/,RENAISSANCE,301,http://www.lancaster.ac.uk/scc/
259,SUPPORT AND CO-ORDINATION FOR INTEGRATED MULTIMEDIA TELEMATICS APPLICATIONS FOR RESEARCHERS,https://www.scimitar.terena.nl/scimitar/,SCIMITAR,302,https://www.scimitar.terena.nl/scimitar/
261,Planning small medium enterprise networks,http://www.nottingham.ac.uk/cmmb/index.aspx,PLENT,302,http://www.nottingham.ac.uk/cmmb/index.aspx
262,European LSE wide integration support effort,http://www.lboro.ac.uk/elsewise/,ELSEWISE,200,
265,Physical design automation on mixed semi-custom arrays,http://www.cecam.org/,SOGROUTE,200,
267,"Design of an interface ASIC for RISC systems using a VHDL based ""independent"" environment",http://www.ruhr-uni-bochum.de/novobrain/,MLS,200,
268,Europractice,http://www.smithsys.co.uk/,EUROPRACTICE,301,http://www.smithsys.co.uk/
269,"Advanced Technology to Optimize Maritime Operational Safety, Integration & Interface",http://www.atomos.org/,ATOMOS II,200,
273,Advanced configuration management system,http://www.ait.org.uk/,ADCOMS,200,
275,Mediterranean multimedia-multimedia support centre for culture arts,http://www.mcube.org,MCUBE,200,
284,Operating system support for distributed multimedia,http://www.cl.cam.ac.uk/research/srg/pegasus/,PEGASUS II,301,http://www.cl.cam.ac.uk/research/srg/pegasus/
286,Implementation of a central repository to support effective configuration management,http://umr-bgpi.cirad.fr/equipes/equipe3.htm,IMPROVE-CM,200,
288,3d multimedia support centre,http://ww1.3dscanners.com/,3DMSC,302,http://ww1.3dscanners.com/
290,Methodology and set of tools for the improvement of machine tool automation,http://www.fatronik.com,AUTOMAT,200,
291,A multimedia pilot centre for electronic commerce based on the Echangeur,http://www.echangeur.fr,COMMERCE & INT,200,
293,Co-operative requirements engineering with scenarios,http://sunsite.informatik.rwth-aachen.de/CREWS/,CREWS,200,
296,WORK AND TRAINING INFORMATION SYSTEM,https://www.vdab.be/start,WATIS,302,https://www.vdab.be/start
297,MULTIMEDIA AS BUSINESS OPTION FOR LOCAL NEWSPAPERS,https://www.iao.fraunhofer.de/lang-de/,MBLN,302,https://www.iao.fraunhofer.de/lang-de/
303,Basic research on advanced distributed computing: from algorithms to systems WG,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org,BROADCAST-WG,302,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org
316,DIFFUSION OF TOOLS AIMED AT THE SIMULATION OF MOULDING MATERIAL FLOW IN SMES BELONGING TO THE MOULD MAKERS SECTOR IN THE EUROPEAN UNION,http://www.aster.it/tiki-index.php,SIM-MOULD,302,http://www.aster.it/tiki-index.php
317,"ORAL SPAWNING INDUCTION FISH. NON INVASIVE CONTROL OF REPRODUCTION IN FISH BY DIETARY DELIVERY OF THE BIOACTIVE PEPTIDE ""GNRH""",http://www.kuleuven.be/kuleuven/crisis,,301,http://www.kuleuven.be/kuleuven/crisis
319,COMPUTERS TO SCREEN,http://www.keraben.com/,,302,http://www.keraben.com/
321,TRANSFER OF COMPUTERISED AGRO PREWARNING SYSTEMS TO THE SOUTH EUROPEAN ENVIRONMENT,http://www.adcon.com/index.php?lang=en,TOCAP SOUTH,303,http://www.adcon.com/index.php?lang=en
322,SUPRA-NATIONAL INTRODUCTION OF COMPUTER-AIDED ENVIRONMENTAL MANAGEMENT AND INFORMATION SYSTEMS TO NEW INDUSTRIAL SECTORS AND USERS,http://www.bane.dk/visForside.asp?artikelID=4268,CAEMIS,302,http://www.bane.dk/visForside.asp?artikelID=4268
328,SCANDINAVIAN PROOFREADING TOOLS,http://www.scarrie.com,SCARRIE,200,
331,BASELINE DATA FOR USER VALIDATION IN INFORMATION ENGINEERING,http://www.ucc.ie/hfrg/baseline/,BASELINE,200,
332,INFORMATION ENGINEERING USABILITY SUPPORT CENTRES,http://www.npl.co.uk/category/2095,INUSE,301,http://www.npl.co.uk/category/2095
352,Types,http://www.chalmers.se/sv/institutioner/cse/Sidor/default.aspx,TYPES,301,http://www.chalmers.se/sv/institutioner/cse/Sidor/default.aspx
360,Network of excellence in evolutionary computing,http://www.birmingham.ac.uk/research/activity/mds/centres/mrc-immune/index.aspx,EVONET,301,http://www.birmingham.ac.uk/research/activity/mds/centres/mrc-immune/index.aspx
363,Requirements engineering network of international co-operating research groups,http://www0.cs.ucl.ac.uk/research/renoir/,RENOIR,301,http://www0.cs.ucl.ac.uk/research/renoir/
366,High temperature electronics network 2,http://hiten.com/,HITEN 2,301,http://hiten.com/
368,The esprit network of excellence in distributed computing systems architectures,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org,CABERNET,302,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org
372,Process modelling techniques research working group,http://www.loria.fr/,PROMOTER-2,200,
377,Multimedia action groups planning information for Europe,http://www.magnet.org/magpie.html,MAGPIE,200,
381,"Inhabited spaces for community, academy, polity and economy",http://www.nada.kth.se/inscape/,INSCAPE,200,
384,PRODUCTION LINE COATER,http://www.kth.se,,200,
385,MUCOSAL VACCINES FOR RESPIRATORY DISEASES BASED UPON NASAL ADMINISTRATION,http://www.westpharma.com/en/Pages/Default.aspx,,301,http://www.westpharma.com/en/Pages/Default.aspx
387,MECHANOMAKING ULTRAFINE-GRAINED MATERIALS,https://www.hugedomains.com/domain_profile.cfm?d=maidireweb&e=com,MUM,302,https://www.hugedomains.com/domain_profile.cfm?d=maidireweb&e=com
389,"DESIGN AND MANUFACTURING OF HEELS FOR SHOES, BY COMPUTER",http://www.inescop.es,DITACOR,200,
391,APPLICATION FOR THE URBAN POLLUTION MANAGEMENT PROCEDURE TO RIVER QUALITY PROTECTION IN EUROPEAN MEMBER STATES,http://www.aquafin.be,UPM RIVER QUALITY,200,
392,BLEACH PLANT EFFLUENT TREATMENT VIA A LOW COST EVAPORATOR,http://www.hadwaco.com,,200,
400,An open service model for global information brokerage and distribution,http://www.osm.net,OSM,200,
407,"PAN EUROPEAN NETWORK OF ENVIRONMENTAL LEGISLATION OBSERVATORIES FOR PLANNING, EDUCATION AND RESEARCH",http://penelope.gr/,PENELOPE,301,http://penelope.gr/
411,TELEMATICS ENHANCED LANGUAGE LEARNING & TUTORING SYSTEMS,http://projects.ael.uni-tuebingen.de/telos/index.html,TELOS,301,http://projects.ael.uni-tuebingen.de/telos/index.html
413,TELEMATICS FOR EDUCATION AND TRAINING - INTERMEDIATE SUPPORT STRUCTURE,http://www.echo.lu/telematics/education/en/,TETRISS,301,http://www.echo.lu/telematics/education/en/
416,Concerted Action on Management Information for Libraries in Europe,http://www.dmu.ac.uk/home.aspx,CAMILE,301,http://www.dmu.ac.uk/home.aspx
418,Harmonised Access & Retrieval for Music-Oriented Networked Information,http://www.svb.nl/project/harmonica/harmonica.htm,HARMONICA,200,
419,IMPLEMENTATION MAINTENANCE AND PROMOTION OF THE EDILIBE/EDITEUR STANDARDS SETS,http://www.editeur.org/,IMPRESS,200,
424,"MULTILINGUAL INDEXING, NAVIGATION AND EDITING EXTENSIONS FOR THE WORLD WIDE WEB",http://mulinex.dfki.de/,MULINEX,200,
433,VALIDATION OF A MULTIMEDIA TITLE SERIES PRODUCTION METHODOLOGY,http://www.cti.gr/el/,VALMMETH,303,http://www.cti.gr/el/
434,ADAPTING MAGNETO-TELLURIC (MT) GEOPHYSICS SYSTEMS TO MEASURE HIGH FREQUENCY RANGES FOR ENVIRONMENTAL INVESTIGATION,http://www.metronix.de,ENVIRO-MT,200,
437,STRATEGIC PROJECT MANAGEMENT FOR PRODUCT INNOVATION,http://www.chalice.co.uk,PROMISE,200,
438,HIGH RESOLUTION LASER DOPPLER PERFUSION IMAGING IN DERMATOLOGY,http://www.imt.liu.se,HIRE LADO,200,
440,European fish ageing network,http://www.efan.no,EFAN,200,
441,Language and image data fusion using stochastic models and spatial context modelling,https://www.limsi.fr/fr/?option=com_content&view=article&id=403,CHAMELEON,302,https://www.limsi.fr/fr/?option=com_content&view=article&id=403
447,Multimedia action groups network (extension),http://www.magnet.org/magnet.html,MAGNET,200,
454,Multimedia European network of high quality image registration,https://www.sfr.fr/sfr-et-moi.html,MENHIR,301,https://www.sfr.fr/sfr-et-moi.html
457,Working group on intelligent manufacturing systems,http://www.mech.kuleuven.be/imswg/welcome.html,IMS-WG,302,http://www.mech.kuleuven.be/imswg/welcome.html
458,Information technology European awards,http://arch.her.hcmr.gr/enviefh/,ITEA 96,200,
462,Multi-site computing,http://www.daucom.es,MSC,200,
464,Perdis: a persistent distributed store for co-operative applications,http://boise.namedisplay.com/wp-signup.php?new=www.perdis.esprit.ec.org,PERDIS,302,http://boise.namedisplay.com/wp-signup.php?new=www.perdis.esprit.ec.org
465,Network application and dissemination expertise,http://www.netapdex.infowin.org/,NETAPDEX,200,
466,Synchronous reactive formalisms,http://www-verimag.imag.fr/PROJECTS/SYNCHRONE/SYRF/syrf.html,SYRF,302,http://www-verimag.imag.fr/PROJECTS/SYNCHRONE/SYRF/syrf.html
467,Manufacturing control systems capable of managing production change and disturbances - an application of autonomous co-operating agents,http://www.mech.kuleuven.be/mascada/welcome.html,MASCADA,302,http://www.mech.kuleuven.be/mascada/welcome.html
468,Computer-based assistance to maintenance tasks,http://www.telespazio-vega.de/EN/Pages/default.aspx,ASSIST,302,http://www.telespazio-vega.de/EN/Pages/default.aspx
471,The multispace project for quality in multimedia products,http://www.brameur.co.uk/qpi/multispace,MULTISPACE,200,
472,Mpeg-4 system implementation and tools for personal computers,http://www.q-team.de/de/,MPEG-4 PC,302,http://www.q-team.de/de/
474,European network in language and speech,http://www.elsnet.org/,ELSNET-2,200,
477,Quantum electronics using scanning tunnelling microscopy based lithography,http://www.isen.fr/isen-lci/quest,QUEST,200,
487,Design by simulation and rendering on parallel architectures ii,http://www.nvidia-arc.com/index.php,DESIRE II,301,http://www.nvidia-arc.com/index.php
491,Conductive characteristics and mass fabrication of nanoscale integrated circuit nanowires,http://www.research.ibm.com/labs/zurich/,NANOWIRES,301,http://www.research.ibm.com/labs/zurich/
492,Object oriented and automated design and management of tools and manufacturing components,http://www.ait.org.uk/,ODEM,200,
494,Scientific computing and algebraic abstractions,http://www.ii.uib.no/saga/,SAGA,301,http://www.ii.uib.no/saga/
495,Randomized algorithms,http://theory.cs.uni-bonn.de/info5/projects/rand-rec-en.html,RAND2,301,http://theory.cs.uni-bonn.de/info5/projects/rand-rec-en.html
503,European framework initiative,https://www.hugedomains.com/domain_profile.cfm?d=nimblesite&e=com,EUROFRAME,302,https://www.hugedomains.com/domain_profile.cfm?d=nimblesite&e=com
505,Electronic data interchange for the European maritime industry,http://www.biba.uni-bremen.de/projects/edimar/,EDIMAR,301,http://www.biba.uni-bremen.de/projects/edimar/
511,MMP system for simulated nmr data analysis,http://www.rebeca-net.de,FAST-SIM,200,
515,Technology transfer node Thuringia,http://www.tzm.de,TTN-T,200,
527,Biology and management in the control of lice on fish farms,http://www.ecoserve.ie/projects/sealice/,,200,
528,Commercial fish and European estuaries - priorities for management and research,http://www2.hull.ac.uk/science/error404.htm?aspxerrorpath=/science/iecs.aspx/,,301,http://www2.hull.ac.uk/science/error404.htm?aspxerrorpath=/science/iecs.aspx/
529,"The influence of competitive interactions on the abundance of early benthic stage European lobster (Homarus gammarus (l.)), and hence on the carrying capacity of lobster habitat",http://www.anzwers.org/trade/lear/index.htm,LEAR (1),200,
531,Standard software infrastructure for SCI-based parallel systems,http://www.dolphinics.no,SISCI,200,
535,Fortran integrated tool set,http://www.vcpc.univie.ac.at/activities/projects/FITS/,FITS,301,http://www.vcpc.univie.ac.at/activities/projects/FITS/
536,Image processing operations for forensic support,http://homes.esat.kuleuven.be/~konijn/improofs.html,IMPROOFS,301,http://homes.esat.kuleuven.be/~konijn/improofs.html
538,Software automated testing in a real time environment,https://en.wikipedia.org/wiki/Askja,SWAT,301,https://en.wikipedia.org/wiki/Askja
542,High brightness and novel waveguide laser diodes for information technology,http://www.femipol.uni-frankfurt.de,TRUE-BLUE,200,
543,Design framework for interactive story systems,http://www.dsclab.ece.ntua.gr/~defacto/default.htm,DEFACTO,200,
545,Spoken language dialogue systems and components - best practice development and evaluation,http://www.sdu.dk/Om_SDU/Fakulteterne/Teknik.aspx,DISC,302,http://www.sdu.dk/Om_SDU/Fakulteterne/Teknik.aspx
551,IN-LINE PROCESS FOR THE ELECTROPICKLING OF STEEL WIRE ROD BY INTEGRATED RECYCLING MACHINE,http://www.otomec.it,,200,
553,Foundations of data warehouse quality,http://www.dbnet.ece.ntua.gr/~dwq/,DWQ,200,
554,High-performance computing and networking for technological and environmental risk management,http://www.ess.co.at/HITERM/,HITERM,200,
557,Applications of graph transformation,http://www.informatik.uni-bremen.de/theorie//appligraph/home.html,APPLIGRAPH,302,http://www.informatik.uni-bremen.de/theorie//appligraph/home.html
563,Financial assistance for transport integration in metropolitan areas,http://www.its.leeds.ac.uk/projects/fatima/,FATIMA,301,http://www.its.leeds.ac.uk/projects/fatima/
569,Modelling evaluating and formalising interactive systems using tasks and interaction objects,http://giove.cnuce.cnr.it/mefisto.html,MEFISTO,200,
570,"Electronic arenas for culture, performance, arts and entertainment",http://www.nada.kth.se/erena/,ERENA,200,
571,Populating inhabited information spaces,http://ww1.3dscanners.com/,POPULATE,302,http://ww1.3dscanners.com/
573,Sistema basico para patronaje de calzado,http://www.inescop.es,SIPECO,200,
578,Surf and Swash Zone Mechanics,https://www.deltares.nl/nl/,SASME,302,https://www.deltares.nl/nl/
581,Making seismic reflection profiles available to the wider scientific community,http://www.noc.soton.ac.uk/CHD/seisweb/SEISCAN.html,SEISCAN,301,http://www.noc.soton.ac.uk/CHD/seisweb/SEISCAN.html
583,Parallel crew rostering,http://www-01.ibm.com/software/fr/websphere/,PARROT,301,http://www-01.ibm.com/software/fr/websphere/
586,CONSOLIDATION OF THE USE OF WALLINGFORD PROCEDURE IN FOUR MEMBER STATES,http://www.hrwallingford.com/,WALLINGFORD,302,http://www.hrwallingford.com/
588,Proposal for an additional WP to the Trans2000 TBP pilot,http://www.circle-era.eu/np4/home.html,TRANS2000-AUS,301,http://www.circle-era.eu/np4/home.html
593,Urban and periurban small and medium-sized enterprise development for sustainable vegetable production and marketing systems,http://www.puvep.com,,200,
597,Ocean Colour for the Determination of Water Column Biological Processes,http://abyss.iopan.gda.pl/biocolor/,BIOCOLOR,200,
603,The characterization of flotation froth structure and colour by machine vision,http://wwwdown.aalto.fi/www.hut.fi/HUT/Control/research_projects.html,CHACO,302,http://wwwdown.aalto.fi/www.hut.fi/HUT/Control/research_projects.html
604,Automated generalisation new technology,http://agent.ign.fr,AGENT,200,
607,Step with intelligence for software engineering,http://www.stepwise.org/,STEPWISE,200,
609,Standards for safety related complex electronic systems,http://ww5.safetynet.de/,STSARCES,302,http://ww5.safetynet.de/
613,Advanced distributed control system for on-site and on-line support for human operators in industrial plants,http://orsiweb.com/ESPRIT/ASSISTANT/index.htm/,ASSISTANT,301,http://orsiweb.com/ESPRIT/ASSISTANT/index.htm/
614,System of integrated tools for the creation of multimedia contents delivered off-line and on-line,http://www.dbai.tuwien.ac.at/sitmoon/,SIT-MOON,200,
624,Control and co-ordination of complex distributed services,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org,C3DS,302,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org
626,High performance simulation for interactive design,http://www.beasy.com,HIPSID,200,
627,Joint industrial interface for end-users simulations,http://www.6s.org,JULIUS,200,
633,Integrated supervisory control for production plant,http://www.strath.ac.uk/404/index.html,IN CONTROL,302,http://www.strath.ac.uk/404/index.html
635,VALIDATION OF SELECTIVE LASER SINTERING (SLS) FOR THE MANUFACTURE OF PROTOTYPE MOULDS IN THE TOY INDUSTRY,http://www.aiju.es,TOY SLS,200,
637,LONG DISTANCE TRANSPORT TECHNOLOGY FOR LIVE CRUSTACEANS,http://www.redbankfoodco.com/,TLC,301,http://www.redbankfoodco.com/
639,DEVELOPMENT OF A LATEX-BASED TEST FOR A DIAGNOSIS OF TUBERCULOSIS THROUGH DETECTION OF MYCOBACTERIA IN THE URINE,http://www.biomerieux.fr,TMST,200,
640,COMPUTER AIDED ENVIRONMENTAL MANAGMENT INFORMATION SYSTEMS - NEW ENVIRONMENTAL TOOLS AND STANDARDS,http://www.ucc.ie,CAEMIS-NETS,200,
642,PATTERNING BY UV LASER MATERIAL REMOVAL,http://www.lzh.de,PURE,200,
643,ACOUSTIC RESONANT FREQUENCY TECHNIQUE IN ON-LINE INTEGRITY TESTING OF STRUCTURES,http://www.kuleuven.be/kuleuven/crisis,ARTIST,301,http://www.kuleuven.be/kuleuven/crisis
644,A NEW PROCESS FOR THE EXTRACTION OF HYDROCOLLOIDS,https://www.hugedomains.com/domain_profile.cfm?d=ericlebas&e=com,EXTRACTINOV,301,https://www.hugedomains.com/domain_profile.cfm?d=ericlebas&e=com
647,TRANSFER OF AN INNOVATIVE ELECTROCHROMIC WINDOW AND DISPLAY TECHNOLOGY TO THE EUROPEAN NTBF AND SME SECTORS,http://www.ucd.ie,NANOCHROME,200,
650,REFRIGERATION EQUIPMENT MATERIALS DATA BANK,http://www.mpa.uni-stuttgart.de,REFMA DB,200,
660,Fundamental aspects of metal speciation and transport in metal - contaminated soils and aquifers.,http://www.bgs.ac.uk/hydro/famest.htm,,200,
661,A Universal Docking-Downloading-Recharging System for AUVs,http://www.maridan.atlas-elektronik.com/companyinfo/,EURODOCKER,301,http://www.maridan.atlas-elektronik.com/companyinfo/
662,Dissemination and Exploitation of a Coupled Hydrodynamical-Ecological Model for Regional and Shelf Seas,http://odnature.naturalsciences.be/coherens/,COHERENS,301,http://odnature.naturalsciences.be/coherens/
665,Demonstrator for Interoperability of Oceanographic Catalogues,http://www.occterra.fr/,DINOCAT,302,http://www.occterra.fr/
666,THE FAIR-INNOVATION (FA-INN) DISSEMINATION PROJECT: USING 57 FOCUSED WORKSHOPS AND 22 RETUER EVENTS FOR TRANSFERRING RESULTS,http://ww1.flair-flow.com/,FA-INN,302,http://ww1.flair-flow.com/
667,SUPPORT FOR VIDEO AND MULTI-MEDIA DISSEMINATION TO DIVERSE INDUSTRIAL APPLICATIONS OF A NEW TYPE OF THERMIC SENSOR SYSTEM,http://www.captec.fr,CAPTHERM,200,
669,Global mass balance of persistent semi - volatile organic compounds: An approach with PCB as an indicator,http://www.aces.su.se/,GLOBAL-SOC,301,http://www.aces.su.se/
672,Adhesive joining technology in electronics manufacturing,http://www.domainmarkt.de/adhesives.de/direct,ADHESIVES IN ELECTRO,302,http://www.domainmarkt.de/adhesives.de/direct
675,Co-ordination of microelectronics packaging & interconnection projects: environment and trends for the development of European solutions,http://www.compete.tm.fr,COMPETE,200,
676,A Network for Industrially Contaminated Land in Europe,http://www.nicole.org/,NICOLE,200,
677,Concerted action on risk assessment for contaminated land,http://www.caracas.at/,,200,
678,Vertical ozone transports in the Alps II.,https://imp.boku.ac.at/votalp/,VOTALP II,302,https://imp.boku.ac.at/votalp/
681,Vertical Ozone transports in the Alps II,https://imp.boku.ac.at/votalp/,VOTALP II,302,https://imp.boku.ac.at/votalp/
696,Network oriented visualization in a clinical environment,http://www.avs.com,NOVICE,200,
702,Threedimensional offline programming system for lasermachining,http://www.lzh.de,TOPLAS,200,
703,European salt marshes modelling,https://umr6553.univ-rennes1.fr/eurossam/default.htm,,301,https://umr6553.univ-rennes1.fr/eurossam/default.htm
706,Data Enhancement of Library Catalogues,http://www.theeuropeanlibrary.org/tel4/,DELICAT,302,http://www.theeuropeanlibrary.org/tel4/
712,European Libraries and Electronic Resources in Mathematical Sciences,http://www.emis.de/projects/EULER/.,EULER,200,
714,Geographical user interface for network-based Baltic Marine Environment Information System,http://www.baltic.vtt.fi,BALTICSEAWEB,200,
745,Natural History Museum,http://www.nhm.ac.uk/,,302,http://www.nhm.ac.uk/
