,title,projectUrl,acronym,return_code,redirect_url
3,COMPUTER AIDED POST IN EUROPE IN THE YEAR 2000,http://www-vs.informatik.uni-ulm.de/,CAPE 2000,302,http://www-vs.informatik.uni-ulm.de/
11,Biofouling Reduction on Optical Systems,http://www.gla.ac.uk/schools/engineering/,BROS,301,http://www.gla.ac.uk/schools/engineering/
21,European parliaments research initiative,http://sagsunseinfach.de/,EPRIWATCH,302,http://sagsunseinfach.de/
23,Learn from video extensive real atm gigabit experiment,http://www.dit.upm.es/~leverage/,LEVERAGE,301,http://www.dit.upm.es/~leverage/
25,Multimedia Information Window for National Hosts,http://www.infowin.org,INFOWIN,200,
26,SME and Regional Telecom Support,http://www.smarts.org,SMARTS,200,
35,Embedded filter unit for automotive signal conditioning,http://www.integramm.org,FILU,200,
37,Biogases transfers in estuaries.,http://labos.ulg.ac.be/oceanologie/,BIOGEST,302,http://labos.ulg.ac.be/oceanologie/
57,Miniaturized and reconfigurable instrumentation for multipurpose survey with a mini autonomous vehicle: Development and validation at sea,http://www.mumm.ac.be/page_not_found.php,MAUVE,302,http://www.mumm.ac.be/page_not_found.php
71,Maritime industries virtual enterprise linkage,http://www.biba.uni-bremen.de/projects/marvelous/,MARVEL OUS,301,http://www.biba.uni-bremen.de/projects/marvelous/
72,Integrated information and process management in manufacturing engineering,http://www.ait.org.uk/,OPAL,200,
74,Datamining file server,http://www.trans.net/dafs,DAFS,200,
77,System for high-speed for automatic reading of cheques,http://www.mbr-train.org,SHAROC,200,
86,European processing core technology,http://www.cetia.com/news/EUROPRO/europroj.html,EUROPRO,200,
88,A parallel optimisation scheme applied to extrusion die design,http://www.polyflow.be,ESOP,200,
89,Integrated simulation and design system for civil and structural engineering,http://home.cern/,INSIDE,301,http://home.cern/
90,Tools for high productivity engineering design,http://www.bertin.fr,TOOLSHED,200,
94,A planning and control system for a semiconductor virtual enterprise,https://www.hugedomains.com/domain_profile.cfm?d=nimblesite&e=com,X-CITTIC,302,https://www.hugedomains.com/domain_profile.cfm?d=nimblesite&e=com
98,Information technology for the textile industry,http://www.euratex.eu/,ITEX,302,http://www.euratex.eu/
101,2 real applications for requirements engineering,https://staff.info.unamur.be/phe/2rare.html,2RARE,302,https://staff.info.unamur.be/phe/2rare.html
104,HPCN Europe on line newsmagazine,http://www.hoise.com,HOISE NM,200,
105,Optimum design of multibody systems,http://ceit.es/en/,ODESIM,301,http://ceit.es/en/
107,High performance simulation of internal combustion engines,http://www.hlrs.de/error/,HPS-ICE,301,http://www.hlrs.de/error/
112,Temporal object oriented databases within information systems,http://helios.mm.di.uoa.gr/toobis/,TOOBIS,301,http://helios.mm.di.uoa.gr/toobis/
113,Emerging software technologies for trading and fund management risk rewards solutions,http://www.aber.ac.uk/en/interpol/,ESTIMATION,301,http://www.aber.ac.uk/en/interpol/
114,Use of the expert system platform REAKT for transport robot guidance,http://roberta-home.de/,RETRARO,301,http://roberta-home.de/
117,Enhancement of electronic system design by EMC adviser system,http://www.ucl.ac.uk/mariecuriesocanth/,FP5-EESD,301,http://www.ucl.ac.uk/mariecuriesocanth/
118,Trial applications of case based reasoning for customer support,http://www.uclouvain.be/en-43617.html,APPLICUS,200,
119,Design for validation,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org,DEVA,302,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org
126,Algorithms and complexity in information technology,http://www.dis.uniroma1.it/alcom-it/,ALCOM IT,301,http://www.dis.uniroma1.it/alcom-it/
128,Process industries diagnostic experiments,http://www.uni-kassel.de/fb15/ite/solar/solnet/,PRIDE,301,http://www.uni-kassel.de/fb15/ite/solar/solnet/
132,Inter-university dissemination project of Omi,http://www.ieec.uned.es/,IUN 2,200,
134,Methodology and tools for multimedia documentation and electronic catalogues,http://me2doc.com/,METODOC,301,http://me2doc.com/
139,Distributed multimedia-archives for co-operative TV-production,http://www.kaifestersen.com/,EUROMEDIA,302,http://www.kaifestersen.com/
141,Porting the EOS RTOs on the arm thumb architecture,http://www.plantscafe.net/,OMI/THEOS,200,
147,A market place for textile images and patterns,http://tissus.cpr.it/,TISSUS,200,
148,Multimedia interactive leading life-giving initiative on net,http://www.omega.it/,MILLION,301,http://www.omega.it/
149,VIRTUAL REALITY ENVIRONMENTS FOR PSYCHO-NEURO-PHYSIOLOGICAL ASSESSMENT AND REHABILITATION,http://www.ehto.be/ht_projects/vrepar/,VREPAR,200,
153,FUTURE LINES OF USER INTERFACE DECISION SUPPORT,http://www.dfki.de/fluids/,FLUIDS,200,
162,Vertical Ozone Transports in the Alps,https://imp.boku.ac.at/votalp/,VOTALP,302,https://imp.boku.ac.at/votalp/
168,Environmental cycling of selected persistent organic pollutants (POPs) in the Baltic region.,http://www.nilu.no/projects/baltic/,POPCYCLING-BALTIC,200,
169,New X-Ray Imaging Sensors,http://www.regam.se,,200,
173,X.500 PILOT DIRECTORY SERVICE FOR ADMINISTRATIONS IN EUROPE,http://www.materna.de/DE/Home/home_node.html,EUROVIEW,302,http://www.materna.de/DE/Home/home_node.html
182,Testing Systems using Telematics for Library Access for Blind and Visually Handicapped Readers,http://www.svb.nl/project/testlab/testlab.htm,TESTLAB,200,
185,Sustainable Telematics for Environmental Management,http://www.inf.ed.ac.uk/systems/web/oldcogsci.html,STEM,303,http://www.inf.ed.ac.uk/systems/web/oldcogsci.html
187,Public environmental information services for European cities,http://www.envirocity.com,ENVIROCITY,200,
192,EUROPEAN HEALTH TELEMATICS OBSERVATORY,http://www.ehto.be/,EHTO,200,
